EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ
750, 1551, 1681, 1789, 2124, 2150, 0, 7, 0, 66
750, 1551, 1681, 1789, 2124, 2150, 0, 7, 0, 66
752, 1552, 1666, 1707, 1919, 2211, 0, 6, 1, 65
752, 1552, 1666, 1707, 1919, 2211, 0, 6, 1, 65
759, 1584, 1781, 2051, 1919, 2237, 0, 5, 2, 65
759, 1584, 1781, 2051, 1919, 2237, 0, 5, 2, 65
764, 1591, 1849, 2003, 2118, 2202, 0, 5, 2, 65
764, 1591, 1849, 2003, 2118, 2202, 0, 2, 0, 66
768, 1263, 1848, 1994, 2126, 2214, 0, 2, 0, 66
768, 1263, 1848, 1994, 2126, 2214, 0, 2, 0, 68
762, 1535, 2002, 2133, 2221, 2169, 0, 4, 0, 68
762, 1535, 2002, 2133, 2221, 2169, 0, 4, 0, 68
769, 1257, 1857, 2036, 2254, 2228, 0, 5, 1, 67
769, 1257, 1857, 2036, 2254, 2228, 0, 5, 1, 67
755, 1518, 1953, 1987, 2111, 2171, 0, 5, 0, 67
755, 1518, 1953, 1987, 2111, 2171, 0, 5, 0, 67
759, 1574, 1801, 1816, 1915, 2235, 0, 5, 0, 67
759, 1574, 1801, 1816, 1915, 2235, 0, 7, 0, 68
752, 1553, 1694, 1794, 1781, 2151, 0, 7, 0, 68
752, 1553, 1694, 1794, 1781, 2151, 0, 9, 0, 66
749, 1549, 1666, 1697, 1804, 1867, 0, 9, 0, 66
749, 1549, 1666, 1697, 1804, 1867, 0, 9, 0, 66
752, 1552, 1665, 1682, 1751, 2003, 0, 10, 255, 66
752, 1552, 1665, 1682, 1751, 2003, 0, 10, 255, 66
759, 1584, 1784, 2051, 1885, 2104, 0, 9, 255, 65
759, 1584, 1784, 2051, 1885, 2104, 0, 9, 255, 65
763, 1600, 1871, 2081, 2002, 2150, 0, 9, 255, 65
763, 1600, 1871, 2081, 2002, 2150, 0, 6, 254, 62
768, 1264, 1846, 2004, 2128, 2206, 0, 6, 254, 62
768, 1264, 1846, 2004, 2128, 2206, 0, 5, 254, 63
761, 1534, 1993, 2114, 2164, 2313, 0, 5, 254, 63
761, 1534, 1993, 2114, 2164, 2313, 0, 5, 254, 63
770, 1261, 1867, 2078, 2047, 2313, 0, 6, 1, 68
770, 1261, 1867, 2078, 2047, 2313, 0, 6, 1, 68
755, 1519, 1963, 2019, 2183, 2062, 0, 7, 2, 71
755, 1519, 1963, 2019, 2183, 2062, 0, 7, 2, 71
760, 1563, 1771, 2088, 2066, 1978, 0, 7, 2, 71
760, 1563, 1771, 2088, 2066, 1978, 0, 6, 0, 66
753, 1560, 1715, 1929, 1885, 2084, 0, 6, 0, 66
753, 1560, 1715, 1929, 1885, 2084, 0, 6, 255, 64
750, 1551, 1677, 1765, 2038, 2232, 0, 6, 255, 64
750, 1551, 1677, 1765, 2038, 2232, 0, 6, 255, 64
751, 1561, 1704, 1833, 1948, 1988, 0, 7, 0, 71
751, 1561, 1704, 1833, 1948, 1988, 0, 7, 0, 71
758, 1576, 1763, 2031, 2196, 2030, 0, 7, 1, 70
758, 1576, 1763, 2031, 2196, 2030, 0, 7, 1, 70
762, 1588, 1824, 1916, 2212, 2086, 0, 7, 1, 70
762, 1588, 1824, 1916, 2212, 2086, 0, 7, 1, 63
768, 1262, 1832, 1921, 1907, 2175, 0, 7, 1, 63
768, 1262, 1832, 1921, 1907, 2175, 0, 7, 1, 67
761, 1533, 1989, 2073, 1990, 2132, 0, 7, 1, 67
761, 1533, 1989, 2073, 1990, 2132, 0, 7, 1, 67
771, 1272, 1888, 2116, 2132, 2214, 0, 7, 1, 68
